url,marque,id_variante,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7,designation,reference,sku,code_article_fournisseur,descritptif,prix_reference,prix_promo_unitaire,quantite_degressif_1,prix_promo_degressif_1,quantite_degressif_2,prix_promo_degressif_2,quantite_degressif_3,prix_promo_degressif_3,quantite_degressif_4,prix_promo_degressif_4
/shop/product/product-31367,,31367,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM Z4 (6 U.),157.ZBS25Z0004,,,,46.8,,,,,,,,,
/shop/product/product-31356,,31356,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM ZX-Z5 (6 U.),157.ZBS25ASST6,,,,46.8,,,,,,,,,
/shop/product/product-31347,,31347,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM Z2 (6 U.),157.ZBS25Z0002,,,,46.8,,,,,,,,,
/shop/product/product-31342,,31342,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM Z1-Z4 (4 U.),157.ZBS25ASST4,,,,42,,,,,,,,,
/shop/product/product-31335,,31335,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM Z1 (6 U.),157.ZBS25Z0001,,,,46.8,,,,,,,,,
/shop/product/product-31327,,31327,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM Z3 (6 U.),157.ZBS25Z0003,,,,46.8,,,,,,,,,
/shop/product/product-31368,,31368,,,,,,,,,,,,,,,GUTAPERCHA BLUESHAPER Z5 (60 U.),157.ZBSGP00Z5,,,,21.48,,,,,,,,,
/shop/product/product-31366,,31366,,,,,,,,,,,,,,,BLUESHAPER STERILE 31MM ZX-Z5 (6 U.),157.ZBS31ASST6,,,,46.8,,,,,,,,,
/shop/product/product-31365,,31365,,,,,,,,,,,,,,,GUTAPERCHA BLUESHAPER Z3-Z5 (60 U.),157.ZBSGPASST,,,,21.48,,,,,,,,,
/shop/product/product-31364,,31364,,,,,,,,,,,,,,,P.P. BLUESHAPER Z4,157.ZBSPP00Z4,,,,21.48,,,,,,,,,
/shop/product/product-31354,,31354,,,,,,,,,,,,,,,BLUESHAPER STERILE 19MM ZX (6 U.),157.ZBS19000ZX,,,,46.8,,,,,,,,,
/shop/product/product-31353,,31353,,,,,,,,,,,,,,,BLUESHAPER STERILE 21MM Z1-Z4 (4 U.),157.ZBS21ASST4,,,,42,,,,,,,,,
/shop/product/product-31346?page=2,,31346,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM Z7 (6 U.),157.ZBS25Z0007,,,,46.8,,,,,,,,,
/shop/product/product-31345?page=2,,31345,,,,,,,,,,,,,,,BLUESHAPER STERILE 25MM Z6 (6 U.),157.ZBS25Z0006,,,,46.8,,,,,,,,,
