url,nom_attr_1,val_attr_1,nom_attr_2,val_attr_2,nom_attr_3,val_attr_3,nom_attr_4,val_attr_4,nom_attr_5,val_attr_5,nom_attr_6,val_attr_6,nom_attr_7,val_attr_7
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-blanc/956-0428,Couleur,Blanc,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-gris-fonce/956-0429,Couleur,Gris fonc�,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-fuchsia/956-0430,Couleur,Fuchsia,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-turquoise/956-0431,Couleur,Turquoise,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-vert-fonce/956-0432,Couleur,Vert fonc�,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-anis/956-0433,Couleur,Anis,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-bleu-fonce/956-0434,Couleur,Bleu fonc�,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-parme/956-0435,Couleur,Parme,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-jaune/956-0436,Couleur,Jaune,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-violet/956-0437,Couleur,Violet,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-bleu-clair/956-0438,Couleur,Bleu clair,,,,,,,,,,,,
https://www.henryschein.fr/fr-fr/dental/p/vetements-accessoires/calots-et-sabots/calot-selekto-anthracite/956-0439,Couleur,Anthracite,,,,,,,,,,,,
