id,text,value
01001,L'Abergement-Clémenciat - 01400,l-abergement-clemenciat
01002,L'Abergement-de-Varey - 01640,l-abergement-de-varey
01004,Ambérieu-en-Bugey - 01500,amberieu-en-bugey
01005,Ambérieux-en-Dombes - 01330,amberieux-en-dombes
01006,Ambléon - 01300,ambleon
01007,Ambronay - 01500,ambronay
01008,Ambutrix - 01500,ambutrix
01009,Andert-et-Condon - 01300,andert-et-condon
01010,Anglefort - 01350,anglefort
01011,Apremont - 01100,apremont
01012,Aranc - 01110,aranc
01013,Arandas - 01230,arandas
01014,Arbent - 01100,arbent
01015,Arboys en Bugey - 01300,arbignieu
01016,Arbigny - 01190,arbigny
01017,Argis - 01230,argis
01019,Armix - 01510,armix
01021,Ars-sur-Formans - 01480,ars-sur-formans
01022,Artemare - 01510,artemare
01023,Asnières-sur-Saône - 01570,asnieres-sur-saone
10002,Ailleville - 10200,ailleville
10003,Aix-Villemaur-Pâlis - 10160,aix-en-othe
10004,Allibaudières - 10700,allibaudieres
10005,Amance - 10140,amance
10006,Arcis-sur-Aube - 10700,arcis-sur-aube
10007,Arconville - 10200,arconville
10008,Argançon - 10140,argancon
10009,Arrelles - 10340,arrelles
10010,Arrembécourt - 10330,arrembecourt
10011,Arrentières - 10200,arrentieres
10012,Arsonval - 10200,arsonval
10013,Assenay - 10320,assenay
10014,Assencières - 10220,assencieres
10015,Aubeterre - 10150,aubeterre
10017,Aulnay - 10240,aulnay
10018,Auxon - 10130,auxon
10019,Val-d'Auzon - 10220,val-d-auzon
10020,Avant-lès-Marcilly - 10400,avant-les-marcilly
10021,Avant-lès-Ramerupt - 10240,avant-les-ramerupt
21001,Agencourt - 21700,agencourt
21002,Agey - 21410,agey
21003,Ahuy - 21121,ahuy
21004,Aignay-le-Duc - 21510,aignay-le-duc
21005,Aiserey - 21110,aiserey
21006,Aisey-sur-Seine - 21400,aisey-sur-seine
21007,Aisy-sous-Thil - 21390,aisy-sous-thil
21008,Alise-Sainte-Reine - 21150,alise-sainte-reine
21009,Allerey - 21230,allerey
21010,Aloxe-Corton - 21420,aloxe-corton
21011,Ampilly-les-Bordes - 21450,ampilly-les-bordes
21012,Ampilly-le-Sec - 21400,ampilly-le-sec
21013,Ancey - 21410,ancey
21014,Antheuil - 21360,antheuil
21015,Antigny-la-Ville - 21230,antigny-la-ville
21016,Arceau - 21310,arceau
21017,Arcenant - 21700,arcenant
21018,Arcey - 21410,arcey
21020,Arconcey - 21320,arconcey
21021,Arc-sur-Tille - 21560,arc-sur-tille
24189,Fougueyrolles - 33220,fougueyrolles
24335,Port-Sainte-Foy-et-Ponchapt - 33220,port-sainte-foy-et-ponchapt
30001,Aigaliers - 30700,aigaliers
30002,Aigremont - 30350,aigremont
30003,Aigues-Mortes - 30220,aigues-mortes
30004,Aigues-Vives - 30670,aigues-vives-3
30005,Aiguèze - 30760,aigueze
30006,Aimargues - 30470,aimargues
30007,Alès - 30100,ales
30008,Allègre-les-Fumades - 30500,allegre-les-fumades
30009,Alzon - 30770,alzon
30010,Anduze - 30140,anduze
30011,Les Angles - 30133,les-angles
30012,Aramon - 30390,aramon
30013,Argilliers - 30210,argilliers
30014,Arpaillargues-et-Aureillac - 30700,arpaillargues-et-aureillac
30015,Arphy - 30120,arphy
30016,Arre - 30120,arre
30017,Arrigas - 30770,arrigas
30018,Aspères - 30250,asperes
03250,Saint-Pierre-Laval - 42620,saint-pierre-laval
07136,Laveyrune - 48250,laveyrune
15105,Leyvaux - 43450,leyvaux
40001,Aire-sur-l'Adour - 40800,aire-sur-l-adour
40002,Amou - 40330,amou
40003,Angoumé - 40990,angoume
40004,Angresse - 40150,angresse
40005,Arboucave - 40320,arboucave
40006,Arengosse - 40110,arengosse
40007,Argelos - 40700,argelos
40008,Argelouse - 40430,argelouse
40009,Arjuzanx - 40110,arjuzanx
40011,Arsague - 40330,arsague
40012,Artassenx - 40090,artassenx
40013,Arthez-d'Armagnac - 40190,arthez-d-armagnac
40014,Arue - 40120,arue
40015,Arx - 40310,arx
40016,Aubagnan - 40700,aubagnan
40017,Audignon - 40500,audignon
40018,Audon - 40400,audon
50002,Agneaux - 50180,agneaux
50003,Agon-Coutainville - 50230,agon-coutainville
50004,Airel - 50680,airel
50006,Amigny - 50620,amigny
50007,Ancteville - 50200,ancteville
50008,Anctoville-sur-Boscq - 50400,anctoville-sur-boscq
50013,Anneville-en-Saire - 50760,anneville-en-saire
50014,Anneville-sur-Mer - 50560,anneville-sur-mer
50015,Annoville - 50660,annoville
50016,Appeville - 50500,appeville
50019,Aucey-la-Plaine - 50170,aucey-la-plaine
50021,Audouville-la-Hubert - 50480,audouville-la-hubert
50022,Aumeville-Lestre - 50630,aumeville-lestre
50023,Auvers - 50500,auvers-2
50024,Auxais - 50500,auxais
50025,Avranches - 50300,avranches
50026,Azeville - 50310,azeville
50027,Bacilly - 50530,bacilly
50028,La Baleine - 50450,la-baleine
50029,Barenton - 50720,barenton
60001,Abancourt - 60220,abancourt-2
60002,Abbecourt - 60430,abbecourt-2
60003,Abbeville-Saint-Lucien - 60480,abbeville-saint-lucien
60004,Achy - 60690,achy
60005,Acy-en-Multien - 60620,acy-en-multien
60006,Les Ageux - 60700,les-ageux
60007,Agnetz - 60600,agnetz
60008,Airion - 60600,airion
60009,Allonne - 60000,allonne
60010,Amblainville - 60110,amblainville
60011,Amy - 60310,amy
60012,Andeville - 60570,andeville
60013,Angicourt - 60940,angicourt
60014,Angivillers - 60130,angivillers
60015,Angy - 60250,angy
60016,Ansacq - 60250,ansacq
60017,Ansauvillers - 60120,ansauvillers
60019,Antheuil-Portes - 60162,antheuil-portes
60020,Antilly - 60620,antilly-2
60021,Appilly - 60400,appilly
70001,Abelcourt - 70300,abelcourt
70002,Aboncourt-Gesincourt - 70500,aboncourt-gesincourt
70003,Achey - 70180,achey
70004,Adelans-et-le-Val-de-Bithaine - 70200,adelans-et-le-val-de-bithaine
70005,Aillevans - 70110,aillevans
70006,Aillevillers-et-Lyaumont - 70320,aillevillers-et-lyaumont
70007,Ailloncourt - 70300,ailloncourt
70008,Ainvelle - 70800,ainvelle
70009,Aisey-et-Richecourt - 70500,aisey-et-richecourt
70010,Alaincourt - 70210,alaincourt-2
70011,Amage - 70280,amage
70012,Amance - 70160,amance-3
70013,Ambiévillers - 70210,ambievillers
70014,Amblans-et-Velotte - 70200,amblans-et-velotte
70015,Amoncourt - 70170,amoncourt
70016,Amont-et-Effreney - 70310,amont-et-effreney
70017,Anchenoncourt-et-Chazel - 70210,anchenoncourt-et-chazel
70018,Ancier - 70100,ancier
70019,Andelarre - 70000,andelarre
70020,Andelarrot - 70000,andelarrot
80001,Abbeville - 80100,abbeville
80002,Ablaincourt-Pressoir - 80320,ablaincourt-pressoir
80003,Acheux-en-Amiénois - 80560,acheux-en-amienois
80004,Acheux-en-Vimeu - 80210,acheux-en-vimeu
80005,Agenville - 80370,agenville
80006,Agenvillers - 80150,agenvillers
80008,Aigneville - 80210,aigneville
80009,Ailly-le-Haut-Clocher - 80690,ailly-le-haut-clocher
80010,Ailly-sur-Noye - 80250,ailly-sur-noye
80011,Ailly-sur-Somme - 80470,ailly-sur-somme
80013,Airaines - 80270,airaines
80014,Aizecourt-le-Bas - 80240,aizecourt-le-bas
80015,Aizecourt-le-Haut - 80200,aizecourt-le-haut
80016,Albert - 80300,albert
80017,Allaines - 80200,allaines
80018,Allenay - 80130,allenay
80019,Allery - 80270,allery
80020,Allonville - 80260,allonville
80021,Amiens - 80000,amiens
90001,Andelnans - 90400,andelnans
90002,Angeot - 90150,angeot
90003,Anjoutey - 90170,anjoutey
90004,Argiésans - 90800,argiesans
90005,Auxelles-Bas - 90200,auxelles-bas
90006,Auxelles-Haut - 90200,auxelles-haut
90007,Banvillars - 90800,banvillars
90008,Bavilliers - 90800,bavilliers
90009,Beaucourt - 90500,beaucourt
90010,Belfort - 90000,belfort
90011,Bermont - 90400,bermont
90012,Bessoncourt - 90160,bessoncourt
90013,Bethonvilliers - 90150,bethonvilliers-2
90014,Boron - 90100,boron
90015,Botans - 90400,botans
90016,Bourg-sous-Châtelet - 90110,bourg-sous-chatelet
90017,Bourogne - 90140,bourogne
90018,Brebotte - 90140,brebotte
90019,Bretagne - 90130,bretagne-2
90020,Buc - 90800,buc-2
10002,Ailleville - 10200,ailleville
10003,Aix-Villemaur-Pâlis - 10160,aix-en-othe
10004,Allibaudières - 10700,allibaudieres
10005,Amance - 10140,amance
10006,Arcis-sur-Aube - 10700,arcis-sur-aube
10007,Arconville - 10200,arconville
10008,Argançon - 10140,argancon
10009,Arrelles - 10340,arrelles
10010,Arrembécourt - 10330,arrembecourt
10011,Arrentières - 10200,arrentieres
10012,Arsonval - 10200,arsonval
10013,Assenay - 10320,assenay
10014,Assencières - 10220,assencieres
10015,Aubeterre - 10150,aubeterre
10017,Aulnay - 10240,aulnay
10018,Auxon - 10130,auxon
10019,Val-d'Auzon - 10220,val-d-auzon
10020,Avant-lès-Marcilly - 10400,avant-les-marcilly
10021,Avant-lès-Ramerupt - 10240,avant-les-ramerupt
11001,Aigues-Vives - 11800,aigues-vives-2
11002,Airoux - 11320,airoux
11003,Ajac - 11300,ajac
11004,Alaigne - 11240,alaigne
11005,Alairac - 11290,alairac
11006,Albas - 11360,albas
11007,Albières - 11330,albieres
11008,Alet-les-Bains - 11580,alet-les-bains
11009,Alzonne - 11170,alzonne
11010,Antugnac - 11190,antugnac
11011,Aragon - 11600,aragon
11012,Argeliers - 11120,argeliers
11013,Argens-Minervois - 11200,argens-minervois
11014,Armissan - 11110,armissan
11015,Arques - 11190,arques
11016,Arquettes-en-Val - 11220,arquettes-en-val
11017,Artigues - 11140,artigues-2
11018,Arzens - 11290,arzens
11019,Aunat - 11140,aunat
11020,Auriac - 11330,auriac
12001,Agen-d'Aveyron - 12630,agen-d-aveyron
12002,Aguessac - 12520,aguessac
12003,Les Albres - 12220,les-albres
12004,Almont-les-Junies - 12300,almont-les-junies
12006,Alrance - 12430,alrance
12007,Ambeyrac - 12260,ambeyrac
12008,Anglars-Saint-Félix - 12390,anglars-saint-felix
12009,Arnac-sur-Dourdou - 12360,arnac-sur-dourdou
12010,Arques - 12290,arques-2
12011,Arvieu - 12120,arvieu
12012,Asprières - 12700,asprieres
12013,Aubin - 12110,aubin
12015,Auriac-Lagast - 12120,auriac-lagast
12016,Auzits - 12390,auzits
