id,text,value
02162,La Chapelle-sur-Chézy - 02570,la-chapelle-sur-chezy
02186,Chézy-sur-Marne - 02570,chezy-sur-marne
02289,Essises - 02570,essises
02032,Aubigny-aux-Kaisnes - 02590,aubigny-aux-kaisnes
02060,Beauvois-en-Vermandois - 02590,beauvois-en-vermandois
02270,Douchy - 02590,douchy
02296,Étreillers - 02590,etreillers
02317,Fluquières - 02590,fluquieres
02327,Foreste - 02590,foreste
02343,Germaine - 02590,germaine
02402,Lanchy - 02590,lanchy
02658,Roupy - 02590,roupy
02702,Savy - 02590,savy
02772,Vaux-en-Vermandois - 02590,vaux-en-vermandois
02815,Villers-Saint-Christophe - 02590,villers-saint-christophe
02135,Buironfosse - 02620,buironfosse
02159,Champs - 02670,champs
02318,Folembray - 02670,folembray
02142,Castres - 02680,castres
02214,Contescourt - 02680,contescourt
02257,Dallon - 02680,dallon
02320,Fontaine-lès-Clercs - 02680,fontaine-les-clercs
02359,Grugies - 02680,grugies
02383,Homblières - 02720,homblieres
02459,Marcy - 02720,marcy
02481,Mesnil-Saint-Laurent - 02720,mesnil-saint-laurent
03140,Lavault-Sainte-Anne - 03100,lavault-sainte-anne
03185,Montluçon - 03100,montlucon
03004,Andelaroche - 03120,andelaroche
03006,Arfeuilles - 03120,arfeuilles
03017,Barrais-Bussolles - 03120,barrais-bussolles
03028,Billezois - 03120,billezois
03042,Le Breuil - 03120,le-breuil
03068,Châtelus - 03120,chatelus
03105,Droiturier - 03120,droiturier
03131,Isserpent - 03120,isserpent
03138,Lapalisse - 03120,lapalisse
03205,Périgny - 03120,perigny
03223,Saint-Christophe - 03120,saint-christophe
03257,Saint-Prix - 03120,saint-prix
03272,Servilly - 03120,servilly
03016,Barberier - 03140,barberier
03053,Chantelle - 03140,chantelle
03059,Chareil-Cintrat - 03140,chareil-cintrat
03062,Charroux - 03140,charroux
03075,Chezelle - 03140,chezelle
03096,Deneuille-lès-Chantelle - 03140,deneuille-les-chantelle
03112,Étroussat - 03140,etroussat
03115,Fleuriel - 03140,fleuriel
03116,Fourilles - 03140,fourilles
03175,Monestier - 03140,monestier
03237,Saint-Germain-de-Salles - 03140,saint-germain-de-salles
03277,Target - 03140,target
03278,Taxat-Senat - 03140,taxat-senat
03294,Ussel-d'Allier - 03140,ussel-d-allier
03319,Voussac - 03140,voussac
03034,Boucé - 03150,bouce
03091,Créchy - 03150,crechy
03137,Langy - 03150,langy
03179,Montaigu-le-Blin - 03150,montaigu-le-blin
03187,Montoldre - 03150,montoldre
03215,Rongères - 03150,rongeres
03235,Saint-Gérand-le-Puy - 03150,saint-gerand-le-puy
03242,Saint-Loup - 03150,saint-loup
03266,Sanssat - 03150,sanssat
03298,Varennes-sur-Allier - 03150,varennes-sur-allier
03036,Bourbon-l'Archambault - 03160,bourbon-l-archambault
03090,Couzon - 03160,couzon
03117,Franchesse - 03160,franchesse
03218,Saint-Aubin-le-Monial - 03160,saint-aubin-le-monial
03241,Saint-Léopardin-d'Augy - 03160,saint-leopardin-d-augy
03251,Saint-Plaisir - 03160,saint-plaisir
03320,Ygrande - 03160,ygrande
03033,Bost - 03300,bost
03056,La Chapelle - 03300,la-chapelle
03093,Creuzier-le-Neuf - 03300,creuzier-le-neuf
03094,Creuzier-le-Vieux - 03300,creuzier-le-vieux
03095,Cusset - 03300,cusset
03174,Molles - 03300,molles
03230,Saint-Étienne-de-Vicq - 03300,saint-etienne-de-vicq
03106,Durdat-Larequille - 03310,durdat-larequille
03195,Néris-les-Bains - 03310,neris-les-bains
03233,Saint-Genest - 03310,saint-genest
03314,Villebret - 03310,villebret
04017,Auzet - 04140,auzet
04020,Barles - 04140,barles
04126,Montclar - 04140,montclar
04191,Saint-Martin-lès-Seyne - 04140,saint-martin-les-seyne
04203,Selonnet - 04140,selonnet
04205,Seyne - 04140,seyne
04235,Verdaches - 04140,verdaches
04237,Le Vernet - 04140,le-vernet-2
04116,Les Mées - 04190,les-mees
06030,Le Cannet - 06110,le-cannet
06069,Grasse - 06130,grasse
07033,Bessas - 07150,bessas
07113,Labastide-de-Virac - 07150,labastide-de-virac
07126,Lagorce - 07150,lagorce
07168,Orgnac-l'Aven - 07150,orgnac-l-aven
07304,Salavas - 07150,salavas
07328,Vagnas - 07150,vagnas
07330,Vallon-Pont-d'Arc - 07150,vallon-pont-d-arc
02015,Ancienville - 02600,ancienville
02201,Cœuvres-et-Valsery - 02600,coeuvres-et-valsery
02216,Corcy - 02600,corcy
02232,Coyolles - 02600,coyolles
02254,Cutry - 02600,cutry
02259,Dampleux - 02600,dampleux
02267,Dommiers - 02600,dommiers
02302,Faverolles - 02600,faverolles
02316,Fleury - 02600,fleury
02368,Haramont - 02600,haramont
02410,Largny-sur-Automne - 02600,largny-sur-automne
02415,Laversine - 02600,laversine
02438,Longpont - 02600,longpont
02441,Louâtre - 02600,louatre
02506,Montgobert - 02600,montgobert
02528,Mortefontaine - 02600,mortefontaine
02557,Noroy-sur-Ourcq - 02600,noroy-sur-ourcq
02568,Oigny-en-Valois - 02600,oigny-en-valois
02628,Puiseux-en-Retz - 02600,puiseux-en-retz
02644,Retheuil - 02600,retheuil
02687,Saint-Pierre-Aigle - 02600,saint-pierre-aigle
02729,Soucy - 02600,soucy
02734,Taillefontaine - 02600,taillefontaine
02810,Villers-Cotterêts - 02600,villers-cotterets
02812,Villers-Hélon - 02600,villers-helon
02822,Vivières - 02600,vivieres
02532,Moÿ-de-l'Aisne - 02610,mo-de-l-aisne
07012,Arcens - 07310,arcens
07037,Borée - 07310,boree
07054,Chanéac - 07310,chaneac
07103,Intres - 07310,intres
07123,Lachapelle-sous-Chanéac - 07310,lachapelle-sous-chaneac
07195,La Rochette - 07310,la-rochette-3
07226,Saint-Clément - 07310,saint-clement-3
07252,Saint-Julien-Boutières - 07310,saint-julien-boutieres
