url,marque,id_variante,nom_attribue-1,valeur_attribue-1,nom_attribue-2,valeur_attribue-2,nom_attribue-3,valeur_attribue-3,nom_attribue-4,valeur_attribue-4,nom_attribue-5,valeur_attribue-5,nom_attribue-6,valeur_attribue-6,nom_attribue-7,valeur_attribue-7,nom_attribue-8,valeur_attribue-8,nom_attribue-9,valeur_attribue-9,nom_attribue-10,valeur_attribue-10,nom_attribue-11,valeur_attribue-11,nom_attribue-12,valeur_attribue-12,nom_attribue-13,valeur_attribue-13,nom_attribue-14,valeur_attribue-14,designation,reference,sku,code_strong,code_article_fournisseur,descriptif,dispositif_medical,prix_reference,prix_promotion,quantite_degressif-1,prix_promotion_degressif-1,quantite_degressif-2,prix_promotion_degressif-2,quantite_degressif-3,prix_promotion_degressif-3,quantite_degressif-4,prix_promotion_degressif-4,quantite_degressif-5,prix_promotion_degressif-5,quantite_degressif-6,prix_promotion_degressif-6,quantite_degressif-7,prix_promotion_degressif-7,quantite_degressif-8,prix_promotion_degressif-8,quantite_degressif-9,prix_promotion_degressif-9,quantite_degressif-10,prix_promotion_degressif-10
https://www.megadental.fr/seringue-inox-anthogyr.html,anthogyr,1876,Type de seringue,Inox sans aspiration,,,,,,,,,,,,,,,,,,,,,,,,,,,Seringue Sterilife Inox sans aspiration ANTHOGYR,1509-004,882-9387,063-3560,,· Seringue intégralement réalisée en acier inoxydable de haute qualité :   résistance aux cycles de stérilisation   · Poignée ergonomique : prise en main confortable   · Fabrication française répondant à des exigences strictes   · Garantie 5 ans         Dispositif médical de classe I.   Utilisation : se référer à la notice.      Seringue sans aspiration : Pour anesthésie para-apicale.   Seringue avec aspiration automatique : Pour anesthésie tronculaire (Epine de   Spix) ou pour anesthésier un tronc nerveux.   Seringue à aspiration manuelle et anneau : Pour anesthésie tronculaire (Epine de   Spix) ou pour anesthésier un tronc nerveux.   ,I,95,,1,95,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/seringue-inox-anthogyr.html,anthogyr,1877,Type de seringue,nox avec aspiration automatique,,,,,,,,,,,,,,,,,,,,,,,,,,,Seringue Sterilife Inox avec aspiration automatique ANTHOGYR,1500-004,882-9388,063-4560,,· Seringue intégralement réalisée en acier inoxydable de haute qualité :   résistance aux cycles de stérilisation   · Poignée ergonomique : prise en main confortable   · Fabrication française répondant à des exigences strictes   · Garantie 5 ans         Dispositif médical de classe I.   Utilisation : se référer à la notice.      Seringue sans aspiration : Pour anesthésie para-apicale.   Seringue avec aspiration automatique : Pour anesthésie tronculaire (Epine de   Spix) ou pour anesthésier un tronc nerveux.   Seringue à aspiration manuelle et anneau : Pour anesthésie tronculaire (Epine de   Spix) ou pour anesthésier un tronc nerveux.   ,I,95,,1,95,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/seringue-inox-anthogyr.html,anthogyr,1878,Type de seringue,Inox Aspiration Manuelle,,,,,,,,,,,,,,,,,,,,,,,,,,,Seringue Sterilife Inox Aspiration Manuelle ANTHOGYR,1501-004,882-9389,063-5560,,· Seringue intégralement réalisée en acier inoxydable de haute qualité :   résistance aux cycles de stérilisation   · Poignée ergonomique : prise en main confortable   · Fabrication française répondant à des exigences strictes   · Garantie 5 ans         Dispositif médical de classe I.   Utilisation : se référer à la notice.      Seringue sans aspiration : Pour anesthésie para-apicale.   Seringue avec aspiration automatique : Pour anesthésie tronculaire (Epine de   Spix) ou pour anesthésier un tronc nerveux.   Seringue à aspiration manuelle et anneau : Pour anesthésie tronculaire (Epine de   Spix) ou pour anesthésier un tronc nerveux.   ,I,95,,1,95,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/instruments-de-chirurgie-pour-implanteo.html,anthogyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSTRUMENTS DE CHIRURGIE POUR IMPLANTEO,0241-173,,,,INSTRUMENTS DE CHIRURGIE POUR IMPLANTEO   - Revêtement coat limitant les zones de rétention bactérienne- Grip idéal- Technologies LED : éclairage de qualité  lumière du jour  (31 000 lux).- Ergonomie optimale : design prolfilé qui offre au praticien une prise en main et un confort de travail idéal.- Angulation parfaite facilitant l'acces au site osseux.- Démontabilité pour un entretien failité : démontable sans outil pour un gain de temps significatif.- Thermodésinfectables et stérilisables en autoclave À  135  '°C. ;,,1830,,,,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/extraction-acteon.html,acteon-satelec-,15727,Type d'insert,LC1 II,,,,,,,,,,,,,,,,,,,,,,,,,,,INSERT LC1 POUR PIEZOTOME 2    SATELEC,9217-013,891-7095,834-1569,,"EXTRACTION ET IMPLANTATION IMMEDIATE      Les inserts LC répondent à la réalisation d'actes cliniques tels que   l'extraction de dent de sagesse, de racines fracturées, de dents incluses, et la   section de racine.      Les micro-oscillations ultrasonores entrainent le détachement du ligament sans   léser les tissus mous environnants.",IIA,168,,1,168,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/cordon-gris-piece-a-main-piezotome-f57305-satelec.html,acteon-satelec-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORDON GRIS PIECE A MAIN PIEZOTOME  F57305 SATELEC,2166-000,,,,,,612,,,,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/cordon-detartreur-blanc-prophymax-f01176-satelec.html,acteon-satelec-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORDON DETARTREUR BLANC PROPHYMAX   F01176 SATELEC,6927-000,,,,,,383.55,,,,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/cassette-pompe-detartreur-p5-xs-pmax-xs-satelec.html,acteon-satelec-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASSETTE POMPE DETARTREUR P5 XS / PMAX XS  SATELEC,8296-000,,,,,,27.35,,,,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/kit-4-joints-cordon-pam-prophypen-f10375-satelec.html,acteon-satelec-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIT 4 JOINTS CORDON PAM PROPHYPEN   F10375 SATELEC,7316-000,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,
https://www.megadental.fr/kit-piezocision-1-f87576-satelec.html,acteon-satelec-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIT PIEZOCISION (1)   F87576               SATELEC,7463-173,,,,"DM Classe IIA; Organisme notifié : 0459. Fabricant : Satelec.Contient 4 inserts : PZ1, PZ2L, PZ2R, PZ3 + 1 support métallique autoclavable + 1 clé universelle autoclavable.",,811,,,,,,,,,,,,,,,,,,,,,
